country,rfo_id,reference_year,SDG2,Budget,j,GDP,norm_Budget,wave,norm_gbard
AT,AT5002,2019,provision_of_teacher_and_fac,39464.199,2019EURO,473778976,.000083296647,2021,7.7164432e-06
AT,AT5001,2019,substance_abuse_3,149214.28,2019EURO,473778976,.00031494492,2021,7.7164432e-06
AT,AT5002,2019,innovation_9,37372.688,2019EURO,473778976,.000078882113,2021,7.7164432e-06
AT,AT5003,2019,employment_equality_opportun,21023.5,2019EURO,473778976,.000044374068,2021,7.7164432e-06
AT,AT5001,2019,heritage_conservation_11,2000,2019EURO,473778976,4.2213778e-06,2021,7.7164432e-06
AT,AT5001,2019,sexual_and_reproductive_heal,116040.72,2019EURO,473778976,.00024492585,2021,7.7164432e-06
AT,AT5001,2019,sustainable_agriculture_2,130187.5,2019EURO,473778976,.0002747853,2021,7.7164432e-06
AT,AT5001,2019,health_care_provision_3,87491.664,2019EURO,473778976,.00018466768,2021,7.7164432e-06
AT,AT5001,2019,human_rights_16,83993.32,2019EURO,473778976,.00017728377,2021,7.7164432e-06
AT,AT5003,2019,youth_employment_8,49545,2019EURO,473778976,.00010457408,2021,7.7164432e-06
AT,AT5001,2019,renewable_energy_7,0,2019EURO,473778976,0,2021,7.7164432e-06
AT,AT5004,2019,health_care_provision_3,12138,2019EURO,473778976,.000025619542,2021,7.7164432e-06
AT,AT5001,2019,air_quality_management_13,0,2019EURO,473778976,0,2021,7.7164432e-06
AT,AT5003,2019,work_conditions_8,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5001,2019,childbirth_and_infant_mortal,2000,2019EURO,473778976,4.2213778e-06,2021,7.7164432e-06
AT,AT5002,2019,illness_from_pollutants_3,17328.715,2019EURO,473778976,.000036575526,2021,7.7164432e-06
AT,AT5002,2019,sustainable_tourism_12,136988,2019EURO,473778976,.00028913905,2021,7.7164432e-06
AT,AT5001,2019,technology_infrastructure_9,104690,2019EURO,473778976,.00022096801,2021,7.7164432e-06
AT,AT5003,2019,technology_infrastructure_9,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5003,2019,provision_of_teacher_and_fac,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5003,2019,sustainable_agriculture_2,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5003,2019,biodiversity_and_ecosystem_1,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5001,2019,carbon_footprint_13,138866.67,2019EURO,473778976,.00029310433,2021,7.7164432e-06
AT,AT5004,2019,employment_equality_opportun,8530.5,2019EURO,473778976,.000018005232,2021,7.7164432e-06
AT,AT5004,2019,innovation_9,11292,2019EURO,473778976,.000023833898,2021,7.7164432e-06
AT,AT5002,2019,literacy_and_numeracy_4,22987,2019EURO,473778976,.000048518403,2021,7.7164432e-06
AT,AT5004,2019,provision_of_teacher_and_fac,8530.5,2019EURO,473778976,.000018005232,2021,7.7164432e-06
AT,AT5004,2019,urban_environmental_mitigati,11292,2019EURO,473778976,.000023833898,2021,7.7164432e-06
AT,AT5004,2019,urban_mobility_11,246,2019EURO,473778976,5.1922945e-07,2021,7.7164432e-06
AT,AT5003,2019,industrial_research_9,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5001,2019,disaster_resilience_11,0,2019EURO,473778976,0,2021,7.7164432e-06
AT,AT5003,2019,urban_planning_and_governanc,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5004,2019,Not detected,7956.2822,2019EURO,473778976,.000016793236,2021,7.7164432e-06
AT,AT5003,2019,equal_access_to_justice_16,30530.666,2019EURO,473778976,.000064440734,2021,7.7164432e-06
AT,AT5003,2019,food_security_2,37893.5,2019EURO,473778976,.000079981386,2021,7.7164432e-06
AT,AT5004,2019,human_rights_16,8530.5,2019EURO,473778976,.000018005232,2021,7.7164432e-06
AT,AT5004,2019,agricultural_productivity_an,12138,2019EURO,473778976,.000025619542,2021,7.7164432e-06
AT,AT5003,2019,disaster_resilience_11,21023.5,2019EURO,473778976,.000044374068,2021,7.7164432e-06
AT,AT5002,2019,food_security_2,770,2019EURO,473778976,1.6252304e-06,2021,7.7164432e-06
